subid,age_days,looking_time_IDS,looking_time_ADS,gender,race_ethn_simple,moreLang,yearsEd,nSibs,careGender
2948,290,4.837,7.614625,M,Caucasian,N,15,1,F
2966,454,4.99,4.675,F,Caucasian,N,14,0,M
3004,436,6.880875,3.848625,M,Caucasian,Y,22,0,M
3022,264,5.934,8.58,M,Black,N,16,1,F
3052,201,6.494125,8.33,M,Caucasian,N,14,1,F
3092,333,10.29225,4.966,F,Caucasian,Y,20,1,F
3120,277,9.5315,6.629375,F,Caucasian,N,16,0,F
3137,396,5.627125,5.032,F,Multiracial,N,13,2,F
3560,232,9.788625,11.74725,F,Caucasian,Y,13,1,F
3645,381,7.544,5.663875,F,Caucasian,N,14,0,F
3656,315,3.907,2.817,F,Caucasian,N,17,1,F
3685,363,7.146,4.055,M,Caucasian,N,13,2,F
3780,330,9.791,5.402,F,Multiracial,Y,20,0,F
3886,346,6.642,7.039875,M,Caucasian,Y,16,0,F
3901,366,6.805428571,7.668,F,Caucasian,Y,18,0,F
3933,162,8.006,5.585,M,Caucasian,N,16,0,F
3949,165,12.690125,12.590375,M,Caucasian,Y,17,0,F
4016,250,6.8815,7.418875,M,Caucasian,N,13,1,F
4022,431,6.321,6.335,M,Caucasian,N,18,1,F
4041,230,6.554,8.476625,M,Caucasian,N,16,0,F
4042,263,6.464375,7.279875,M,Multiracial,Y,14,0,F
4048,291,4.665,6.386375,M,Multiracial,Y,14,0,M
4051,147,5.282,5.20275,F,Caucasian,Y,18,1,F
4065,208,8.677375,9.27175,M,Caucasian,N,17,0,F
4073,168,6.98975,5.733,M,Caucasian,Y,18,0,F
4080,316,8.026,6.30275,F,Caucasian,N,16,0,F
4161,295,11.461875,4.57925,F,Caucasian,N,14,0,F
4165,400,8.097,5.037,M,Caucasian,Y,12,0,F
4175,239,6.282625,5.9,F,Caucasian,N,16,2,F
4192,402,7.923625,5.485,F,Caucasian,Y,18,1,F
4204,215,4.608,6.085,M,Multiracial,Y,18,1,F
4226,332,12.06333333,9.03375,M,Caucasian,N,12,2,F
4229,281,9.94125,7.30875,F,Multiracial,Y,16,0,F
4233,306,8.048333333,7.616,F,Caucasian,N,16,4,F
4234,288,8.2425,7.70375,M,Caucasian,N,12,2,F
4239,215,11.066375,7.094375,F,Caucasian,N,15,0,F
4241,286,7.354,6.42,F,Caucasian,N,16,3,F
4243,305,12.6675,8.835,M,Caucasian,N,18,0,F
4246,350,5.60875,5.96625,M,Caucasian,Y,22,0,F
4249,336,3.32,2.58375,F,Caucasian,N,12,2,F
4250,314,12.0275,10.44375,M,Caucasian,Y,18,0,F
4251,283,6.7375,6.22375,M,Caucasian,N,16,0,F
4253,324,10.8975,5.945,F,Caucasian,N,16,2,F
4254,314,12.75375,10.025,F,Caucasian,N,18,1,F
4258,282,12.29846154,14.08214286,M,Caucasian,N,18,1,F
4262,327,9.0975,8.75625,M,Caucasian,N,16,4,F
4263,284,10.135,5.88375,M,Caucasian,N,18,1,F
4269,323,10.8,9.29,M,Caucasian,N,16,0,F
4272,316,11.6825,6.495,F,Asian,N,18,2,F
4282,273,10.98,10.95625,F,Caucasian,N,16,0,F
4293,296,11.465,7.7175,F,Caucasian,N,16,2,F
4294,277,13.2175,9.2325,M,Caucasian,N,12,0,F
4296,313,5.63875,4.89125,M,Caucasian,N,12,2,F
4297,291,7.8675,12.11125,M,Caucasian,N,16,1,F
4303,279,6.40125,8.255,F,Caucasian,N,22,2,F
4310,317,11.86125,13.23625,M,Caucasian,N,16,1,F
4311,317,11.02625,9.825,M,Caucasian,N,16,1,F
4316,278,7.653333333,9.632,F,Caucasian,N,18,2,F
4317,317,7.3875,4.56,F,Caucasian,Y,11,2,F
4318,355,9.53125,5.64875,F,Multiracial,N,16,1,F
4330,323,12.1825,10.16125,F,Caucasian,N,16,0,F
4334,357,11.54714286,3.795,F,Caucasian,N,18,0,F
4337,338,7.48125,6.5225,M,Multiracial,Y,16,1,F
4392,146,8.763,6.087,M,Caucasian,Y,16,1,F
4526,411,10.5445,7.96325,M,Multiracial,Y,14,0,F
4534,140,15.80975,11.0496,M,Caucasian,Y,16,0,F
4552,157,6.75,7.463125,M,Caucasian,N,18,1,F
4620,234,7.31,7.923375,M,Caucasian,N,14,4,F
4625,165,12.2345,8.956875,F,Caucasian,N,20,0,F
4718,284,6.996625,5.923,M,Caucasian,Y,16,1,F
4790,411,11.071375,8.262125,F,Caucasian,N,20,0,F
4854,240,10.84183333,9.160714286,F,Multiracial,Y,14,1,F
4901,362,6.566875,4.907,M,Caucasian,Y,14,1,F
ManyBabies001,180,4.038625,3.971,M,Caucasian,N,16,4,F
ManyBabies002,183,5.990125,5.075,F,Black,Y,16,0,F
ManyBabies003,179,8.313875,4.819625,F,Caucasian,N,16,0,M
ManyBabies004,181,5.9944,6.377666667,F,Caucasian,Y,21,0,F
ManyBabies006,171,6.14075,5.9235,M,Caucasian,N,18,0,F
ManyBabies007,133,6.361875,4.177625,M,Caucasian,N,19,0,F
ManyBabies008,169,4.892375,5.377125,M,Caucasian,N,18,1,F
ManyBabies012,96,5.223,6.68,F,Caucasian,N,16,0,M
ManyBabies014,101,13.415375,12.116625,F,Caucasian,N,18,1,M
ManyBabies015,150,0.151,0.159,M,Caucasian,N,16,0,F
ManyBabies017,403,13.314125,8.334625,F,Caucasian,N,16,2,F
ManyBabies018,431,1.598666667,4.313666667,F,Asian,Y,18,1,F
ManyBabies019,434,7.139833333,2.768,M,Multiracial,Y,16,0,F
ManyBabies020,411,6.3204,5.325,M,Caucasian,N,21,0,F
ManyBabies022,431,7.178333333,3.807333333,F,Caucasian,N,19,1,F
ManyBabies023,417,3.1945,3.0465,F,Caucasian,N,21,1,M
ManyBabies024,448,14.8665,8.4915,F,Caucasian,N,16,1,F
ManyBabies025,380,7.9238,7.937,M,Multiracial,Y,16,3,F
ManyBabies026,434,10.720875,8.978125,M,Caucasian,N,16,0,F
ManyBabies027,410,9.295714286,6.162833333,F,Multiracial,N,18,1,M
ManyBabies028,379,10.168125,7.896,M,Caucasian,Y,18,1,F
ManyBabies029,441,10.21666667,7.221,M,Caucasian,N,18,0,F
ManyBabies030,400,3.655,3.4375,M,Caucasian,N,16,1,F
ManyBabies032,396,8.705125,4.983125,M,Caucasian,N,14,0,F
mb_003,284,4.201,3.8112,M,Caucasian,N,16,0,M
mb_004,269,5.046125,3.90325,F,Caucasian,N,21,1,F
mb_005,248,10.045125,7.78975,F,Caucasian,N,16,0,F
mb_006,356,5.175,13.198,F,Caucasian,Y,18,0,F
mb_008,270,16.8425,10.07075,M,Caucasian,N,18,0,M
mb_009,319,12.8658,13.08914286,F,Caucasian,Y,18,1,F
mb_010,328,3.370666667,4.053666667,F,Caucasian,Y,18,0,F
mb_011,297,15.543,9.006125,F,Caucasian,N,18,0,F
mb_012,213,8.45625,6.333666667,F,Caucasian,N,14,0,F
mb_013,244,8.61475,5.488625,F,Multiracial,N,18,0,F
mb_014,265,6.52925,5.318125,F,Caucasian,N,16,0,M
mb_015,405,7.547125,3.25625,M,Multiracial,Y,18,0,F
mb_016,265,9.074125,8.087625,M,Caucasian,N,16,0,F
mb_017,405,6.30625,4.938125,F,Caucasian,N,16,0,F
mb_018,286,10.636,8.582666667,M,Multiracial,Y,18,0,F
mb_019,318,9.232875,5.179625,F,Caucasian,N,16,0,F
mb_020,420,9.2306,8.7068,F,Caucasian,N,16,1,F
mb_021,277,5.7926,3.896,F,Caucasian,Y,16,1,F
mb_022,330,5.231375,3.9145,F,Caucasian,N,16,0,F
mb_023,302,7.914125,8.854875,F,Caucasian,N,16,1,F
mb_024,358,2.856875,2.808625,M,Caucasian,N,16,1,F
mb_025,254,6.844625,5.236125,F,Multiracial,N,18,0,F
mb_026,354,9.725625,5.44725,F,Caucasian,Y,16,1,M
mb_027,354,7.224125,4.9805,F,Caucasian,Y,16,1,M
mb_028,306,4.601666667,5.632571429,M,Caucasian,Y,21,1,F
mb_029,410,6.64575,2.800625,M,Caucasian,N,18,0,M
mb_030,284,4.48975,4.538375,M,Caucasian,N,16,1,F
mb_031,391,9.476,4.693875,F,Caucasian,N,14,0,M
mb_032,398,10.990875,3.33975,M,Caucasian,N,18,1,F
mb_033,184,7.4695,8.86175,F,Caucasian,N,16,1,F
mb_034,334,4.743857143,4.50775,F,Caucasian,N,14,2,M
mb_035,365,9.975375,6.879375,F,Multiracial,Y,14,0,F
mb_036,399,5.318166667,5.107571429,F,Caucasian,N,14,1,F
mb_037,301,4.114833333,3.514166667,F,Caucasian,Y,21,1,F
mb_038,195,10.3445,8.94025,F,Caucasian,N,14,0,M
mb_039,295,6.611125,5.55275,M,Multiracial,Y,20,1,F
mb_040,368,7.756625,6.58475,F,Caucasian,Y,18,0,F
mb_041,208,5.40825,7.514125,F,Caucasian,N,16,0,F
mb_042,201,4.783666667,8.523666667,M,Caucasian,N,18,0,F
mb_043,266,10.115,8.300875,F,Multiracial,Y,18,1,M
mb_044,186,8.144125,8.56375,F,Caucasian,Y,18,1,F
mb_045,313,6.039375,3.630875,F,Caucasian,N,16,0,F
mb_046,373,7.03,6.563125,M,Caucasian,N,18,0,F
mb_047,378,7.734125,4.339,F,Caucasian,Y,21,1,F
mb_048,202,9.526625,6.03125,M,Caucasian,Y,21,0,F
mb_049,356,7.85,4.908625,M,Multiracial,N,16,1,F
mb_050,302,6.837,6.06275,F,Multiracial,Y,16,1,F
mb_051,294,7.208625,6.321,M,Caucasian,Y,18,0,M
mb_052,383,5.9345,5.07775,M,Multiracial,Y,20,0,F
mb_053,370,4.632857143,2.977833333,F,Caucasian,Y,18,1,F
mb_054,230,11.303625,11.431625,F,Caucasian,Y,18,0,F
mb_055,376,2.84725,3.697375,M,Caucasian,N,18,0,F
mb_056,237,6.33125,8.18775,F,Caucasian,N,21,0,M
mb_057,457,6.437857143,6.042166667,M,Caucasian,Y,21,1,F
mb_058,433,4.15625,4.3875,M,Caucasian,N,18,0,M
mb_059,312,9.339125,8.19825,M,Caucasian,N,16,1,F
MB_06,267,9.5765,8.747625,F,,N,20,0,F
mb_060,223,9.387,7.31875,M,Caucasian,N,18,1,F
mb_061,224,16.03475,11.4918,F,Caucasian,N,18,0,F
mb_062,236,9.644625,9.382375,M,Caucasian,N,21,1,F
mb_063,431,8.94225,5.908625,F,Caucasian,N,18,0,F
mb_064,330,9.946,6.6235,F,Caucasian,N,18,0,F
mb_065,438,7.119625,6.69025,F,Caucasian,N,12,0,F
mb_066,453,2.161166667,1.239,F,Caucasian,N,18,1,M
mb_067,450,5.8424,4.94425,F,Caucasian,N,14,0,F
mb_068,420,12.199,2.091,M,Caucasian,N,16,1,F
mb_069,440,6.919375,4.343875,M,Caucasian,Y,16,0,F
MB_07,239,9.583666667,5.756333333,F,,N,16,1,F
mb_070,413,8.467857143,5.8675,F,Caucasian,N,14,0,F
mb_071,189,4.761375,6.697625,M,Caucasian,N,16,1,F
mb_072,452,6.5105,3.6855,M,Caucasian,Y,16,1,F
mb_073,421,4.724,2.3515,M,Caucasian,N,16,1,F
mb_074,454,7.924833333,6.427,M,Caucasian,Y,16,0,F
mb_075,445,7.995375,5.803875,F,Black,N,16,1,F
mb_076,286,9.546375,4.911375,F,Caucasian,N,16,0,F
mb_077,348,7.109375,5.667625,F,Multiracial,N,18,1,F
mb_078,417,9.391,4.295571429,F,Caucasian,N,16,0,F
mb_079,221,8.756875,5.8825,M,Caucasian,N,16,1,F
mb_080,386,6.622875,3.743375,M,Caucasian,N,18,1,F
mb_081,401,7.8425,3.0936,M,Caucasian,N,16,0,F
mb_082,382,5.444,0.858,M,Caucasian,N,16,2,
mb_083,437,5.654375,4.488625,F,,N,,4,
mb_084,296,7.344375,5.444625,M,Caucasian,N,16,0,F
mb_085,262,4.5875,3.34475,F,Caucasian,N,16,2,F
mb_086,187,5.544,4.789,M,Caucasian,N,16,2,M
mb_087,321,3.96825,3.6006,M,Caucasian,N,21,1,F
mb_088,309,6.580375,7.610875,M,Caucasian,N,16,0,M
mb_089,294,7.7965,5.05425,F,Caucasian,N,18,1,F
MB_09,252,5.468125,7.597375,M,,N,20,1,F
mb_090,195,6.888,3.915125,M,Multiracial,Y,14,0,F
mb_091,288,10.74425,8.173875,F,Caucasian,N,16,1,F
mb_092,194,12.0715,9.566875,M,Caucasian,N,16,1,F
mb_093,265,7.1505,5.671,F,Caucasian,Y,16,0,M
mb_094,205,4.379,5.337625,F,Caucasian,N,16,1,F
mb_095,313,5.711571429,6.443571429,M,Caucasian,Y,21,0,F
mb_096,194,18.021,9.7685,F,Caucasian,N,16,0,M
mb_097,230,2.011625,6.912875,M,Caucasian,N,19,0,F
mb_098,188,8.8035,6.755,M,Caucasian,Y,16,3,F
MB_10,237,7.924625,6.9945,M,,N,14,1,F
MB_11,264,6.626,3.900375,M,,Y,20,1,F
MB_12,183,14.41975,12.341375,F,,N,20,0,F
MB_13,230,7.534833333,8.259142857,F,,N,14,0,F
MB_14,189,5.308,5.093375,F,,N,20,0,F
MB_15,209,4.107666667,9.079333333,M,,Y,14,0,F
MB_16,250,9.054375,6.17975,M,,N,14,0,F
MB_17,240,3.900166667,3.7472,M,,Y,20,1,F
MB_18,252,17.22233333,15.61733333,M,,N,14,0,F
MB_19,247,8.77525,10.801125,F,,N,20,0,F
MB_20,209,10.95725,9.73225,M,,N,16,0,F
MB_21,255,8.70675,9.670125,M,,N,14,0,F
MB_22,254,9.055875,10.64075,M,,N,16,0,F
MB_23,201,7.02025,7.25025,M,,N,14,0,F
MB_24,261,7.445714286,4.887285714,M,,N,20,0,F
MB_25,211,10.084,10.054375,M,,N,20,0,F
MB_26,241,7.390875,5.881125,M,,N,20,0,F
MB_27,188,8.254125,6.540625,F,,Y,16,0,F
MB_28,235,6.179625,9.2545,M,,N,14,1,F
MB_29,261,7.4995,7.763,F,,N,14,0,F
MB_30,223,8.693571429,6.336,F,,N,16,0,F
MB_31,199,11.680125,9.467,M,,Y,20,0,F
MB_32,283,7.78675,6.809625,F,,N,20,1,F
MB_33,233,11.251625,9.11075,F,,Y,20,1,F
MB_34,194,6.136875,5.540285714,F,,N,12,0,F
MB_35,187,9.535375,6.2105,F,,Y,14,0,F
MB_36,215,8.38125,8.01825,M,,N,14,1,F
MB_37,183,7.665625,11.28875,F,,N,14,0,F
MB0901,280,7.4925,4.375,F,Caucasian,N,16,1,F
MB0902,277,7.89625,7.21375,F,Caucasian,N,16,1,F
MB0903,290,7.63625,5.4775,M,Caucasian,N,13,0,F
MB0904,290,10.82625,8.335,M,Caucasian,N,13,1,F
MB0905,301,9.2825,6.05875,F,Caucasian,N,16,0,F
MB0906,303,6.56875,7.9275,M,Caucasian,N,13,0,F
MB0907,286,8.788333333,8.58,M,Caucasian,N,14,0,F
MB0908,297,4.89625,5.38125,M,Caucasian,N,17,0,F
MB1001,312,5.04625,7.26875,M,Caucasian,N,14,2,F
MB1002,311,3.785,3.675,F,Caucasian,N,20,0,F
MB1003,320,7.5,3.75875,M,Caucasian,N,16,1,F
MB1004,328,6.2025,7.115,M,Caucasian,N,14,1,F
MB1005,306,5.272857143,3.3525,F,Caucasian,N,14,1,F
MB1006,323,11.43625,6.65875,F,Caucasian,N,17,1,F
MB1007,308,7.78875,5.925,M,Caucasian,N,13,0,F
MB1008,316,5.02125,7.54125,F,Caucasian,N,13,1,F
MB1009,319,8.6075,8.322,F,Caucasian,Y,13,1,F
MB1010,323,8.91875,7.62875,F,Caucasian,N,14,0,F
MB1101,354,3.9575,3.42625,M,Caucasian,N,16,1,F
MB1102,347,4.535,3.54125,M,Caucasian,N,16,0,F
MB1103,351,5.305,6.035,M,Caucasian,N,14,2,F
MB1104,342,7.51,8.151428571,M,Caucasian,N,16,1,F
MB1105,342,8.66875,6.46375,M,Caucasian,N,16,1,F
MB1106,339,6.5825,4.9575,F,Caucasian,N,17,0,F
MB1107,362,6.128333333,7.356666667,M,Caucasian,N,16,0,F
MB1108,345,1.94,6.51,F,Caucasian,N,16,0,F
MB12-01,411,8.02375,3.63625,M,Hispanic/Latino,Y,12,1,F
MB12-02,451,9.0825,4.5175,F,Multiracial,Y,18,0,F
MB12-03,447,11.85625,7.655,M,Hispanic/Latino,Y,16,0,F
MB12-04,444,12.445,6.40375,F,Multiracial,Y,16,0,F
MB12-05,454,5.63125,8.4,M,Caucasian,Y,12,1,F
MB12-06,454,8.21625,4.4275,F,Hispanic/Latino,Y,16,1,F
MB12-07,385,10.365,5.76625,F,Caucasian,Y,20,0,F
MB12-08,379,8.13625,5.855,M,Caucasian,Y,19,0,F
MB12-09,454,6.742857143,5.111428571,F,Asian,Y,19,1,F
MB12-10,454,8.9,7.875,F,Hispanic/Latino,Y,14,0,F
MB12-11,381,15.4575,8.4825,F,Multiracial,Y,12,2,F
MB12-12,453,11.36375,6.865,F,Multiracial,Y,12,2,F
MB12-13,369,5.51,4.006666667,M,Multiracial,Y,15,0,F
MB12-14,384,10.49625,8.03125,F,Multiracial,Y,18,0,F
MB12-15,434,8.481666667,6.742,M,Multiracial,Y,18,3,F
MB12-17,410,6.29,7.433333333,M,Caucasian,Y,16,1,F
MB1201,376,2.908571429,6.975,F,Caucasian,N,17,1,F
MB1202,365,10.19125,5.3775,F,Caucasian,N,16,0,F
MB1203,377,10.84142857,4.081428571,M,Caucasian,N,16,0,F
MB1204,389,8.1525,5.835,F,Caucasian,N,14,0,F
MB1205,370,5.86125,6.20875,F,Caucasian,N,16,1,F
MB1206,381,7.80125,7.62625,M,Caucasian,N,16,0,F
MB1207,372,6.85875,3.70625,F,Caucasian,N,17,3,F
MB1208,381,6.0525,6.65875,F,Caucasian,N,16,0,F
MB1R12_1F_S1,388,11.671625,8.625,F,Caucasian,N,12,0,F
MB1R12_1F_S10,387,9.008625,4.899375,F,Caucasian,N,16,0,F
MB1R12_1M_S3,377,11.213125,7,M,Caucasian,N,16,0,F
MB1R12_2M_S4,384,16.8185,11.815,M,Caucasian,N,14,0,F
MB1R12_3F_S8,392,8.424,5.1955,F,Caucasian,N,16,3,F
MB1R12_4F_S9,392,8.63975,6.98675,F,Caucasian,N,16,3,F
MB1R12_4M_S6,388,4.059625,2.7555,M,Caucasian,N,18,1,F
MB1R12_4M_S7,384,5.6815,5.6395,M,Caucasian,N,16,0,F
MB1R13_1M_S1,422,6.809,4.781,M,Caucasian,N,16,0,F
MB1R13_2F_S5,401,5.140375,8.521875,F,Caucasian,N,18,0,F
MB1R13_2F_S7,420,11.592625,5.29625,F,Caucasian,N,16,2,F
MB1R13_2M_S11,409,6.373875,7.706125,M,Black,N,18,1,F
MB1R13_2M_S2,415,9.01425,10.412125,M,Caucasian,N,13,1,F
MB1R13_3F_S6,423,6.450375,8.189125,F,Caucasian,N,12,0,F
MB1R13_3M_S12,395,7.644125,7.462875,M,Caucasian,N,18,1,F
MB1R13_3M_S4,409,8.387125,5.42825,M,Caucasian,Y,18,0,F
MB1R13_4M_S9,397,3.11275,3.965125,M,Caucasian,N,16,1,F
MB1R14_1F_S1,455,8.43975,5.976,F,Caucasian,N,16,2,F
MB1R14_1F_S9,438,8.555375,7.040875,F,Caucasian,N,16,3,F
MB1R14_1M_S2,427,6.865875,6.266875,M,Caucasian,N,14,2,F
MB1R14_2F_S10,438,7.660125,7.45175,F,Caucasian,N,16,3,F
MB1R14_2F_S7,445,6.325,6.1025,F,Caucasian,N,18,1,F
MB1R14_2M_S14,452,13.440125,9.050125,M,American-Indian/Alaskan Native,N,16,1,F
MB1R14_2M_S3,448,6.349625,6.459375,M,Caucasian,N,16,2,F
MB1R14_3F_S5,437,11.480375,10.22425,F,Caucasian,N,18,1,F
MB1R14_3M_S16,437,6.793875,5.32325,M,Caucasian,N,13,2,F
MB1R14_3M_S6,443,7.421875,5.882,M,Caucasian,N,12,4,F
MB1R14_4F_S15,436,3.2105,3.689125,F,Caucasian,N,20,0,F
MB1R14_4F_S4,448,7.0255,5.324,F,Caucasian,N,16,2,F
MB1R14_4M_S12,443,6.58575,5.687375,M,Multiracial,N,13,0,M
MB1R14_4M_S17,440,7.217,4.908571429,M,Caucasian,N,13,0,F
MB1R6_1F_S11,207,14.005125,11.8215,F,Caucasian,N,18,1,F
MB1R6_1M_S1,189,8.450125,9.244625,M,Caucasian,N,18,2,F
MB1R6_1M_S10,210,11.28025,11.598625,M,Caucasian,N,14,1,F
MB1R6_2F_S4,202,15.43425,14.579875,F,Caucasian,N,20,0,F
MB1R6_2M_S3,194,7.376125,6.7555,M,Caucasian,N,13,0,F
MB1R6_3F_S12,207,9.9955,6.75875,F,Caucasian,N,18,1,F
MB1R6_3F_S5,197,12.1575,9.7795,F,Caucasian,N,18,0,F
MB1R6_4F_S6,204,12.829,13.89175,F,Caucasian,N,18,0,F
MB1R6_4F_S8,188,14.360875,15.266125,F,Caucasian,N,18,0,F
MB1R6_4M_S7,205,6.869375,6.081375,M,Caucasian,N,16,0,F
MB1R7_1F_S5,231,8.8765,6.12075,F,Caucasian,N,17,1,F
MB1R7_1F_S6,214,13.101125,10.53225,F,Caucasian,N,13,1,F
MB1R7_1M_S1,213,14.949625,14.634875,M,Caucasian,N,13,1,F
MB1R7_1M_S10,213,15.818625,12.75375,M,Caucasian,N,18,0,F
MB1R7_2F_S7,227,8.575625,7.447375,F,Caucasian,N,18,1,F
MB1R7_2M_S2,216,8.000375,12.846625,M,Caucasian,N,18,1,F
MB1R7_2M_S9,220,5.927,5.309125,M,Caucasian,Y,13,1,F
MB1R7_3F_S12,217,8.51675,8.04675,F,Caucasian,N,18,1,F
MB1R7_3M_S3,212,18.219,14.776125,M,Caucasian,N,16,2,F
MB1R7_3M_S8,231,15.239625,7.496125,M,Caucasian,N,16,0,F
MB1R7_4F_S11,223,8.555125,9.328375,F,Multiracial,N,14,1,F
MB1R7_4M_S4,219,10.358,7.205,M,Caucasian,N,18,1,F
MB1R8_1F_S1,265,4.3205,3.717625,F,Caucasian,N,16,0,M
MB1R8_1M_S3,263,3.81525,3.228,M,Caucasian,N,16,2,F
MB1R8_2F_S2,271,9.94425,8.4625,F,Caucasian,N,14,1,F
MB1R8_2M_S4,273,9.0235,8.686625,M,Caucasian,N,16,1,F
MB1R8_3F_S6,264,8.373125,5.228125,F,Multiracial,N,16,0,F
MB1R8_3M_S5,254,9.78725,12.325375,M,Caucasian,Y,16,1,F
MB1R8_4F_S7,251,11.8575,7.352375,F,Caucasian,N,16,1,F
MB3-01,156,6.385,4.75,F,Hispanic/Latino,Y,15,0,F
MB3-02,166,9.01125,10.145,F,Caucasian,N,16,0,F
MB3-03,166,10.30625,15.4075,F,,N,16,1,F
MB3-04,165,6.62625,5.96,M,Asian,Y,16,1,F
MB3-05,183,10.24,9.185,F,Caucasian,N,14,0,F
MB3-06,182,15.83375,14.45625,F,Caucasian,N,18,0,F
MB3-07,173,8.75875,8.2425,M,Caucasian,N,16,0,F
MB3-08,179,15.9,10.06666667,M,Caucasian,N,21,0,F
MB3-09,142,11.7575,10.94625,F,,N,14,1,F
MB3-10,157,13.1225,7.16625,M,Caucasian,N,16,0,F
MB3-11,140,14.05875,10.91,M,Multiracial,N,20,0,F
MB3-12,176,7.93875,8.52875,F,Black,N,16,0,F
MB3-13,145,13.2325,12.28375,M,Caucasian,N,18,0,F
MB3-14,456,6.98375,8.44125,M,Multiracial,N,16,0,F
MB3-15,162,8.86375,7.86125,F,Black,N,19,1,F
MB3-16,165,13.925,9.26125,M,Caucasian,N,16,0,F
MB3-17,172,12.125,12.69375,F,Caucasian,N,16,0,F
MB3-18,152,10.3,11.115,F,Caucasian,Y,16,0,F
MB3-19,165,6.3775,7.52,F,Caucasian,Y,18,0,F
MB3-20,142,10.81,8.3975,F,Asian,Y,16,1,F
MB3-21,148,12.62625,9.04625,F,Caucasian,N,16,0,F
MB3-22,156,7.4425,7.525,F,Multiracial,N,16,1,F
MB3-23,153,13.0225,7.8175,F,Caucasian,Y,16,0,F
MB3-24,164,12.38,16.1025,M,Caucasian,N,21,1,F
MB3-25,138,7.74625,5.81625,M,Multiracial,N,21,2,F
MB3-26,155,11.00375,7.11,F,Caucasian,Y,18,0,F
MB3-27,148,11.89375,13.26125,M,Caucasian,N,18,0,F
MB3-28,138,8.88625,8.95,M,Multiracial,Y,16,0,F
MB3-29,128,9.65625,10.12,M,Black,N,14,1,F
MB3-30,141,16.99625,13.70875,F,Multiracial,Y,16,0,M
MB3-31,154,9.4025,11.58625,F,Caucasian,N,16,0,F
MB3-32,132,16.89,13.46125,F,Caucasian,N,18,0,F
MB9-01,296,8.91,7.6425,M,Caucasian,N,16,0,F
MB9-02,362,9.04875,8.44375,M,Caucasian,N,16,0,F
MB9-03,354,10.265,8.43875,F,Caucasian,N,16,2,F
MB9-04,361,5.165714286,4.202857143,M,Caucasian,Y,19,0,F
MB9-05,364,8.47375,5.3675,M,Caucasian,N,18,1,F
MB9-06,332,9.29,7.3875,F,Caucasian,N,16,0,F
MB9-07,297,6.34,5.345,F,Caucasian,N,16,0,F
MB9-08,297,5.39,7.22375,F,Caucasian,N,16,0,F
MB9-09,300,9.25,4.814,M,Asian,Y,16,2,F
MB9-10,293,10.04,8.3,F,Caucasian,N,16,0,F
MB9-11,361,10.8225,6.65,M,Caucasian,N,16,0,F
MB9-12,304,13.1725,8.35625,M,Caucasian,Y,21,1,F
